Date,Open,High,Low,Close,Volume,Adj Close
2008-12-01,77.89,83.64,72.68,79.83,46656300,79.83
2008-11-03,73.45,81.03,67.54,80.15,54003200,80.15
2008-10-01,77.19,81.75,56.51,74.12,62482300,73.70
2008-09-02,78.04,82.00,71.51,77.66,38705200,77.22
2008-08-01,80.55,81.50,76.14,80.01,26908400,79.55
2008-07-01,87.87,89.63,79.10,80.43,33014400,79.56
2008-06-02,88.09,90.50,84.77,88.13,28218100,87.18
2008-05-01,90.10,96.12,87.60,88.76,28713400,87.80
2008-04-01,84.80,94.93,84.26,93.07,23311500,91.66
2008-03-03,86.83,88.50,81.97,84.58,32253000,83.30
2008-02-01,87.70,90.17,80.36,87.01,25847200,85.69
2008-01-02,94.15,94.74,77.55,85.70,30841000,84.04
2007-12-03,88.97,95.10,87.71,93.69,20010700,91.87
2007-11-01,89.83,90.95,83.37,89.16,27396100,87.43
2007-10-01,92.45,95.27,89.67,91.99,23720000,89.86
2007-09-04,85.31,93.66,83.88,92.56,24540500,90.41
2007-08-01,84.99,87.90,78.76,85.73,30843200,83.74
2007-07-02,84.50,93.62,84.12,85.13,28263400,82.82
2007-06-01,83.56,86.58,80.85,83.88,25316000,81.61
2007-05-01,79.50,84.32,79.05,83.17,21117100,80.92
2007-04-02,75.35,80.88,75.28,79.38,23657200,76.90
2007-03-01,70.90,76.35,69.02,75.45,28874700,73.09
2007-02-01,74.58,76.10,71.18,71.68,24060100,69.44
2007-01-03,76.26,76.27,70.64,74.10,26449100,71.48
2006-12-01,76.78,79.00,74.82,76.63,19954400,73.92
2006-11-01,71.58,77.37,70.27,76.81,20701700,74.09
2006-10-02,67.29,72.33,64.84,71.42,21755300,68.60
2006-09-01,67.85,68.65,63.87,67.10,24726500,64.45
2006-08-01,67.24,71.22,67.01,67.67,22894000,64.99
2006-07-03,61.80,67.94,61.63,67.74,22007100,64.76
2006-06-01,60.40,62.65,56.64,61.35,24370100,58.65
2006-05-01,63.40,64.77,59.15,60.91,20876700,58.23
2006-04-03,61.36,65.00,60.43,63.08,19051100,60.00
2006-03-01,59.59,61.92,58.44,60.86,19242900,57.89
2006-02-01,62.77,63.08,58.60,59.37,20284700,56.47
2006-01-03,56.42,63.96,56.42,62.75,21662600,59.37
2005-12-01,58.37,60.38,55.60,56.17,16581900,53.15
2005-11-01,56.09,60.26,55.84,58.03,19671400,54.91
2005-10-03,63.55,63.89,54.50,56.14,25924300,52.85
2005-09-01,60.10,65.96,60.10,63.54,21276100,59.82
2005-08-01,59.23,61.34,57.76,59.90,18555800,56.39
2005-07-01,57.75,60.73,57.60,58.75,17362000,55.04
2005-06-01,56.45,61.13,56.33,57.47,17256700,53.84
2005-05-02,57.00,58.65,52.78,56.20,20132700,52.65
2005-04-01,60.10,61.74,55.40,57.03,21283700,53.16
2005-03-01,62.97,64.37,57.38,59.60,25986600,55.55
2005-02-01,51.98,64.04,51.93,63.31,21245800,59.01
2005-01-03,51.02,51.97,49.25,51.60,12949200,47.86
2004-12-01,51.26,52.05,48.90,51.26,13430100,47.54
2004-11-01,49.40,52.00,48.25,51.25,12241200,47.54
2004-10-01,48.45,50.46,48.18,49.22,12479100,45.41
2004-09-01,46.20,49.79,46.03,48.33,13146900,44.59
2004-08-02,46.29,46.94,44.20,46.10,11732500,42.53
2004-07-01,44.53,46.82,44.20,46.30,10873000,42.46
2004-06-01,43.50,45.53,43.10,44.41,12529300,40.73
2004-05-03,42.90,44.24,41.59,43.25,12400600,39.66
2004-04-01,41.90,43.97,41.43,42.55,11350300,38.77
2004-03-01,42.58,43.40,39.91,41.59,12952800,37.89
2004-02-02,41.26,42.75,40.05,42.17,11209500,38.42
2004-01-02,41.02,41.77,40.02,40.79,12471600,36.94
2003-12-01,36.50,41.13,36.22,41.00,12256100,37.13
2003-11-03,36.92,36.99,35.05,36.20,12066300,32.78
2003-10-01,36.92,38.93,36.12,36.58,11860700,32.89
2003-09-02,37.79,38.50,36.35,36.60,11233600,32.91
2003-08-01,35.57,37.74,35.12,37.70,10534600,33.90
2003-07-01,35.95,36.40,34.90,35.58,12612700,31.78
2003-06-02,36.53,38.45,35.91,35.91,12306700,32.07
2003-05-01,35.32,36.77,34.99,36.40,12119500,32.51
2003-04-01,35.25,36.00,34.20,35.20,11951800,31.21
2003-03-03,34.39,36.20,33.23,34.95,13595200,30.99
2003-02-03,34.16,35.09,32.32,34.02,12288500,30.17
2003-01-02,35.00,36.60,31.58,34.15,13564300,30.08
2002-12-02,35.15,36.22,34.10,34.94,12247800,30.77
2002-11-01,33.80,35.85,33.00,34.80,11234400,30.65
2002-10-01,32.18,36.50,32.03,33.66,15007700,29.45
2002-09-03,34.25,35.80,31.18,31.90,12843600,27.91
2002-08-01,35.25,37.80,32.32,35.45,12063500,31.02
2002-07-01,40.77,41.10,29.75,36.76,19914000,31.96
2002-06-03,40.00,41.02,38.50,40.92,12404500,35.58
2002-05-01,39.90,41.13,38.68,39.93,10305600,34.72
2002-04-01,44.20,44.57,39.60,40.17,11550400,34.72
2002-03-01,41.75,44.29,41.65,43.83,11498300,37.89
2002-02-01,39.15,41.80,37.60,41.30,11259700,35.70
2002-01-02,39.30,40.09,37.80,39.05,10044100,33.56
2001-12-03,37.40,40.30,36.41,39.30,12406600,33.77
2001-11-01,39.45,40.58,36.76,37.40,12039700,32.14
2001-10-01,39.25,42.70,38.05,39.45,10218900,33.70
2001-09-04,40.60,41.50,35.01,39.40,13930900,33.66
2001-08-01,42.45,42.49,40.05,40.15,8599200,34.30
2001-07-02,88.25,88.80,40.52,41.76,11275300,35.48
2001-06-01,89.00,91.67,86.16,87.35,12629400,37.10
2001-05-01,88.80,90.65,85.45,88.75,12196800,37.69
2001-04-02,81.00,89.88,77.00,88.60,14027300,37.44
2001-03-01,80.80,86.49,75.20,81.00,13228100,34.23
2001-02-01,84.15,86.65,80.90,81.05,11286400,34.25
2001-01-02,86.69,89.75,78.69,84.15,15660000,35.38
2000-12-01,87.94,91.37,84.06,86.94,12807400,36.55
2000-11-01,89.94,94.69,86.56,88.00,11135000,36.99
2000-10-02,89.37,95.44,85.81,89.19,13066600,37.31
2000-09-01,82.00,90.75,81.75,89.11,14325500,37.28
2000-08-01,80.94,84.75,79.75,81.64,8470400,34.15
2000-07-03,78.81,81.12,75.12,80.19,10803900,33.36
2000-06-01,83.56,84.75,77.69,78.50,11609700,32.66
